Natureza,Mes,Ano,Regiao,Ocorrencias
FURTO DE VEÍCULO,Jul,2021,Araçatuba,19
FURTO DE VEÍCULO,Ago,2021,Araçatuba,33
FURTO DE VEÍCULO,Set,2021,Araçatuba,27
FURTO DE VEÍCULO,Out,2021,Araçatuba,37
FURTO DE VEÍCULO,Nov,2021,Araçatuba,31
FURTO DE VEÍCULO,Dez,2021,Araçatuba,62
HOMICÍDIO DOLOSO (2),Jan,2020,Araçatuba,9
HOMICÍDIO DOLOSO (2),Fev,2020,Araçatuba,2
HOMICÍDIO DOLOSO (2),Mar,2020,Araçatuba,17
HOMICÍDIO DOLOSO (2),Abr,2020,Araçatuba,4
HOMICÍDIO DOLOSO (2),Mai,2020,Araçatuba,4
HOMICÍDIO DOLOSO (2),Jun,2020,Araçatuba,4
HOMICÍDIO DOLOSO (2),Jul,2020,Araçatuba,3
HOMICÍDIO DOLOSO (2),Ago,2020,Araçatuba,1
HOMICÍDIO DOLOSO (2),Set,2020,Araçatuba,3
HOMICÍDIO DOLOSO (2),Out,2020,Araçatuba,6
HOMICÍDIO DOLOSO (2),Nov,2020,Araçatuba,5
HOMICÍDIO DOLOSO (2),Dez,2020,Araçatuba,7
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Jan,2020,Araçatuba,10
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Fev,2020,Araçatuba,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Mar,2020,Araçatuba,17
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Abr,2020,Araçatuba,4
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Mai,2020,Araçatuba,4
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Jun,2020,Araçatuba,4
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Jul,2020,Araçatuba,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Ago,2020,Araçatuba,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Set,2020,Araçatuba,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Out,2020,Araçatuba,9
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Nov,2020,Araçatuba,5
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),Dez,2020,Araçatuba,7
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Jan,2020,Araçatuba,1
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Fev,2020,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Mar,2020,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Abr,2020,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Mai,2020,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Jun,2020,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Jul,2020,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Ago,2020,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Set,2020,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Out,2020,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Nov,2020,Araçatuba,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Dez,2020,Araçatuba,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Jan,2020,Araçatuba,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Fev,2020,Araçatuba,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Mar,2020,Araçatuba,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Abr,2020,Araçatuba,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Mai,2020,Araçatuba,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Jun,2020,Araçatuba,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Jul,2020,Araçatuba,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Ago,2020,Araçatuba,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Set,2020,Araçatuba,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Out,2020,Araçatuba,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Nov,2020,Araçatuba,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Dez,2020,Araçatuba,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Jan,2020,Araçatuba,4
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Fev,2020,Araçatuba,5
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Mar,2020,Araçatuba,7
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Abr,2020,Araçatuba,9
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Mai,2020,Araçatuba,7
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Jun,2020,Araçatuba,7
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Jul,2020,Araçatuba,4
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Ago,2020,Araçatuba,11
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Set,2020,Araçatuba,8
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Out,2020,Araçatuba,8
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Nov,2020,Araçatuba,13
